,LD1
age,0.3729051562144322
gender,-0.0011108453174676243
height,-0.045099846244644984
weight,0.1785002305454853
ap_hi,0.688231282576814
ap_lo,0.25291678299147635
cholesterol,0.34421498418544716
gluc,-0.06319807022120247
smoke,-0.03822838145017956
alco,-0.046123175164452426
active,-0.09030268193243365
